pensioner_id,name,dob,gender,join_date,retirement_date,years_of_service,monthly_pension,pension_type,lump_sum,region,last_contribution,spouse_count,beneficiary_name,payment_method,bank_account_mask,inflation_index,active_flag,created_at,age_at_retirement,pension_status,beneficiary_name_missing,data_issue_flag
P000049,Susan Taylor,1954-11-16,F,1986-04-12,2016-06-24,30,1470.86,Defined Contribution,0.0,North,2015-09-18,0,S***,Bank Transfer,****8184,1.0158,0,2021-04-02T17:10:25.603276,61.0,Active,0,1
P000050,Jennifer Lopez,1943-06-18,M,1965-11-26,1999-02-26,33,2294.47,Defined Benefit,0.0,South,1997-11-29,2,P***,Bank Transfer,****9340,1.0226,0,2020-12-21T17:10:25.603621,55.0,Active,0,1
P000051,Linda Hernandez,1949-07-31,F,1967-09-19,2019-05-08,51,1736.66,Defined Benefit,0.0,North,2018-03-29,0,M***,Cheque,****2524,1.027,0,2025-09-16T17:10:25.603955,69.0,Active,0,1
P000052,William Davis,1964-11-07,F,1993-07-08,2027-11-16,34,2274.29,Defined Contribution,0.0,East,2027-10-09,0,Beneficiary Not Registered,Cheque,****3708,1.0141,1,2022-11-19T17:10:25.604364,63.0,Active,1,1
P000053,Robert Thomas,1969-10-24,M,1999-08-02,2035-02-08,35,2207.39,Defined Benefit,0.0,Central,2033-08-20,2,Beneficiary Not Registered,Bank Transfer,****6085,1.0213,1,2024-11-21T17:10:25.604704,65.0,Active,1,1
P000054,Michael Williams,1948-01-31,M,1978-06-30,2010-09-26,32,2127.55,Defined Benefit,0.0,East,2010-03-23,1,R***,Bank Transfer,****9684,1.0195,0,2021-12-09T17:10:25.605033,62.0,Active,0,1
P000055,Barbara Johnson,1936-01-01,F,1965-05-13,1992-02-06,26,2549.27,Defined Benefit,0.0,West,1990-06-09,2,Beneficiary Not Registered,Bank Transfer,****4430,1.0132,0,2024-12-23T17:10:25.605251,56.0,Active,1,1
P000056,Robert Smith,1944-10-15,M,1974-02-26,2007-07-31,33,1706.88,Defined Benefit,0.0,North,2006-09-11,0,R***,Bank Transfer,****5805,1.0361,0,2023-09-13T17:10:25.605512,62.0,Active,0,1
P000057,Susan Hernandez,1972-01-19,M,1996-07-29,2030-07-28,34,2126.58,Defined Benefit,0.0,North,2028-12-22,0,J***,Direct Deposit,****9245,1.0249,1,2022-12-23T17:10:25.605796,58.0,Active,0,1
P000058,Thomas Rodriguez,1973-01-13,M,2006-08-08,2029-06-07,22,1181.73,Defined Benefit,0.0,West,2029-02-08,0,R***,Bank Transfer,****8291,1.0112,1,2023-03-29T17:10:25.606139,56.0,Active,0,1
P000059,Jennifer Davis,1963-07-10,F,1985-08-09,2030-05-11,44,2263.0,Defined Benefit,0.0,West,2028-09-26,1,J***,Bank Transfer,****2704,1.0204,1,2023-10-09T17:10:25.606424,66.0,Active,0,1
P000060,David Gonzalez,1963-08-05,M,1987-06-29,2023-11-30,36,2033.15,Defined Benefit,0.0,West,2022-05-23,1,M***,Bank Transfer,****2136,1.0215,0,2022-06-20T17:10:25.606685,60.0,Active,0,1
P000061,Thomas Davis,1945-08-26,F,1976-06-23,2015-06-30,39,1959.75,Defined Contribution,0.0,Central,2014-03-21,0,Beneficiary Not Registered,Bank Transfer,****2265,1.0358,0,2022-03-21T17:10:25.606931,69.0,Active,1,1
P000062,Thomas Lopez,1937-10-05,M,1954-10-22,2001-01-16,46,1726.84,Defined Benefit,18995.24,West,2000-06-21,0,M***,Bank Transfer,****9707,1.0147,0,2022-11-01T17:10:25.607247,63.0,Active,0,1
P000063,Richard Rodriguez,1941-09-16,F,1969-01-16,2009-11-21,40,2132.34,Defined Contribution,0.0,South,2009-10-31,0,J***,Cheque,****4056,1.0224,0,2023-09-27T17:10:25.607507,68.0,Active,0,1
P000064,Barbara Moore,1970-06-08,F,1994-07-31,2039-03-09,44,1983.09,Defined Contribution,0.0,North,2037-07-13,0,Beneficiary Not Registered,Bank Transfer,****8725,1.0272,1,2024-06-19T17:10:25.607727,68.0,Active,1,1
P000065,Susan Miller,1940-02-18,M,1961-07-17,2001-01-28,39,2116.26,Defined Benefit,0.0,North,1999-09-16,0,J***,Bank Transfer,****3043,1.0135,0,2025-08-18T17:10:25.608018,60.0,Active,0,1
P000066,William Davis,1964-09-10,F,1990-10-09,2029-10-09,39,1854.39,Defined Benefit,0.0,Central,2027-12-08,0,W***,Bank Transfer,****7732,1.0162,1,2025-08-04T17:10:25.608322,65.0,Active,0,1
P000067,Michael Johnson,1975-01-27,M,2005-05-20,2030-06-04,25,2459.74,Defined Benefit,0.0,East,2030-02-19,1,Beneficiary Not Registered,Cheque,****4389,1.0292,1,2022-11-16T17:10:25.608541,55.0,Active,1,1
P000068,Joseph Miller,1962-02-03,F,1983-02-22,2025-02-08,41,1468.12,Defined Benefit,0.0,East,2023-12-27,1,C***,Direct Deposit,****4427,1.0198,0,2024-01-13T17:10:25.608806,63.0,Active,0,1
P000069,Linda Jackson,1941-08-17,M,1963-07-29,2002-09-29,39,1429.76,Defined Benefit,0.0,West,2000-12-26,0,Beneficiary Not Registered,Bank Transfer,****3071,1.0124,0,2024-10-20T17:10:25.609070,61.0,Active,1,1
P000070,Robert Brown,1965-02-23,M,1999-10-15,2028-04-02,28,1737.84,Defined Contribution,0.0,South,2027-07-28,1,Beneficiary Not Registered,Bank Transfer,****1529,1.0378,1,2021-08-05T17:10:25.609383,63.0,Active,1,1
P000071,Joseph Smith,1940-05-24,M,1961-09-08,2001-03-02,39,1529.78,Defined Benefit,0.0,East,1999-09-24,0,J***,Bank Transfer,****9219,1.0317,0,2025-09-23T17:10:25.609662,60.0,Active,0,1
P000072,John Jones,1935-05-16,M,1960-08-11,1998-03-06,37,1093.22,Defined Contribution,0.0,South,1997-05-10,1,R***,Bank Transfer,****8115,1.0124,0,2024-07-03T17:10:25.610050,62.0,Active,0,1
P000073,Karen Hernandez,1965-03-10,M,1987-01-03,2020-11-17,33,2057.91,Defined Benefit,0.0,Central,2019-05-12,0,J***,Bank Transfer,****6178,1.0184,0,2023-08-14T17:10:25.610385,55.0,Active,0,1
P000074,James Taylor,1958-12-20,F,1985-09-14,2017-08-03,31,1002.21,Defined Benefit,0.0,North,2016-12-31,0,S***,Cheque,****8175,1.025,0,2022-03-04T17:10:25.610653,58.0,Active,0,1
P000075,James Davis,1941-05-27,F,1972-08-12,2009-11-18,37,1459.35,Defined Benefit,0.0,West,2009-01-12,1,S***,Bank Transfer,****4124,1.022,0,2022-04-10T17:10:25.610908,68.0,Active,0,1
P000076,Robert Rodriguez,1939-05-16,M,1959-04-14,1999-11-26,40,1806.2,Defined Benefit,12643.4,South,1998-04-21,1,Beneficiary Not Registered,Cheque,****2000,1.0221,0,2022-05-05T17:10:25.611156,60.0,Active,1,1
P000077,Charles Gonzalez,1968-07-12,M,1993-02-26,2028-04-12,35,1348.79,Defined Benefit,0.0,North,2028-02-08,0,D***,Bank Transfer,****8117,1.0036,1,2023-08-09T17:10:25.611441,59.0,Active,0,1
P000078,Mary Wilson,1955-07-08,F,1980-09-23,2016-03-12,35,1337.3,Defined Benefit,0.0,East,2015-08-05,1,Beneficiary Not Registered,Cheque,****7570,1.0047,0,2023-02-27T17:10:25.611686,60.0,Active,1,1
P000079,David Thomas,1961-07-18,M,1983-06-27,2018-05-23,34,1378.41,Defined Benefit,0.0,South,2018-01-03,1,J***,Bank Transfer,****7787,1.0172,0,2025-08-30T17:10:25.611948,56.0,Active,0,1
P000080,David Miller,1962-12-04,F,1986-05-05,2023-09-26,37,942.8,Defined Contribution,0.0,East,2023-01-29,0,Beneficiary Not Registered,Direct Deposit,****8285,1.0244,0,2022-05-07T17:10:25.612162,60.0,Active,1,1
P000081,William Rodriguez,1961-07-05,M,1989-02-01,2024-06-08,35,2158.87,Defined Benefit,0.0,East,2024-04-21,0,Beneficiary Not Registered,Bank Transfer,****1482,1.013,0,2022-10-23T17:10:25.612418,62.0,Active,1,1
P000082,Mary Smith,1943-11-20,F,1977-08-27,2001-02-02,23,1189.43,Defined Benefit,35682.9,North,2000-08-27,1,M***,Bank Transfer,****3349,1.0275,0,2021-08-26T17:10:25.612744,57.0,Active,0,1
P000083,Patricia Garcia,1958-09-17,F,1983-08-29,2015-11-14,32,1525.13,Defined Benefit,0.0,East,2014-02-05,0,Beneficiary Not Registered,Bank Transfer,****2735,1.0078,0,2021-07-26T17:10:25.613010,57.0,Active,1,1
P000084,John Lopez,1948-04-18,M,1970-08-20,2008-09-21,38,2109.03,Defined Benefit,35853.51,Central,2007-01-17,1,Beneficiary Not Registered,Bank Transfer,****3665,1.0242,0,2024-09-08T17:10:25.613240,60.0,Active,1,1
P000085,Jessica Lopez,1949-04-01,M,1974-08-22,2019-09-07,45,1318.68,Defined Benefit,35604.36,West,2019-01-14,0,Beneficiary Not Registered,Cheque,****3785,1.0279,0,2024-07-07T17:10:25.613466,70.0,Active,1,1
P000086,Susan Brown,1947-06-06,M,1973-05-05,2003-08-14,30,1497.33,Defined Contribution,40427.91,Central,2003-02-16,1,J***,Bank Transfer,****9785,1.019,0,2021-12-06T17:10:25.613904,56.0,Active,0,1
P000087,John Martinez,1970-08-03,F,1989-08-04,2028-12-26,39,1326.36,Defined Contribution,0.0,East,2028-10-15,0,S***,Bank Transfer,****5917,1.0146,1,2025-04-04T17:10:25.614216,58.0,Active,0,1
P000088,Karen Williams,1974-01-23,M,2003-05-12,2030-02-04,26,1456.78,Defined Contribution,48073.74,East,2028-08-17,0,J***,Bank Transfer,****6179,1.0193,1,2024-02-04T17:10:25.614616,56.0,Active,0,1
P000089,Charles Jackson,1958-02-20,M,1985-01-23,2014-02-22,29,2119.47,Defined Contribution,0.0,North,2012-04-04,0,J***,Bank Transfer,****2638,1.0166,0,2021-08-05T17:10:25.614941,56.0,Active,0,1
P000090,Thomas Jones,1960-03-22,F,1980-07-18,2019-10-24,39,1413.25,Defined Benefit,0.0,West,2017-12-04,1,M***,Bank Transfer,****7793,1.0178,0,2021-10-25T17:10:25.615246,59.0,Active,0,1
P000091,Michael Jones,1943-10-28,M,1973-05-20,2002-09-15,29,1751.06,Defined Benefit,0.0,South,2002-03-27,0,M***,Bank Transfer,****1593,1.0156,0,2023-11-15T17:10:25.615511,58.0,Active,0,1
P000092,John Rodriguez,1960-03-05,F,1983-09-04,2019-08-26,36,2146.02,Defined Contribution,12876.12,North,2018-07-26,1,D***,Bank Transfer,****7869,1.0217,0,2025-05-12T17:10:25.615782,59.0,Active,0,1
P000093,Thomas Anderson,1971-06-18,F,2001-09-19,2030-07-23,28,1598.26,Defined Benefit,0.0,West,2029-05-01,0,K***,Bank Transfer,****1365,1.0192,1,2022-06-25T17:10:25.616091,59.0,Active,0,1
P000094,David Martin,1966-10-04,F,1994-12-12,2025-09-03,30,1469.62,Defined Benefit,0.0,West,2024-09-17,0,Beneficiary Not Registered,Bank Transfer,****2827,1.0128,0,2022-01-22T17:10:25.616377,58.0,Active,1,1
P000095,Patricia Wilson,1937-11-03,F,1964-03-24,1996-08-01,32,1865.29,Defined Contribution,0.0,North,1995-04-02,0,S***,Bank Transfer,****6946,1.0098,0,2023-08-05T17:10:25.616648,58.0,Active,0,1
P000096,Sarah Martin,1944-11-13,F,1973-08-20,2002-09-15,29,1263.78,Defined Contribution,0.0,Central,2002-05-26,0,Beneficiary Not Registered,Bank Transfer,****1301,1.0291,0,2022-02-13T17:10:25.616862,57.0,Active,1,1
P000097,Susan Miller,1942-05-28,F,1970-01-31,2003-03-05,33,2137.81,Defined Contribution,55583.06,West,2002-07-14,0,B***,Bank Transfer,****2724,1.0028,0,2022-02-20T17:10:25.617186,60.0,Active,0,1
P000098,John Jackson,1941-03-19,F,1964-06-28,2009-12-07,45,1502.74,Defined Benefit,0.0,West,2009-08-02,0,E***,Bank Transfer,****4081,1.0177,0,2021-12-30T17:10:25.617484,68.0,Active,0,1
P000099,Susan Miller,1960-03-18,M,1985-07-01,2027-03-29,41,1898.76,Defined Contribution,0.0,West,2025-11-15,1,Beneficiary Not Registered,Cheque,****8902,1.0208,1,2023-02-17T17:10:25.617703,67.0,Active,1,1
P000100,Jennifer Jackson,1975-11-06,M,2007-11-13,2032-11-10,25,1276.75,Defined Benefit,15321.0,East,2031-05-25,0,Beneficiary Not Registered,Bank Transfer,****3563,1.0164,1,2022-07-02T17:10:25.617952,57.0,Active,1,1
P000101,Susan Williams,1937-08-29,M,1959-02-10,1994-06-15,35,1577.46,Defined Benefit,0.0,East,1992-10-30,1,Beneficiary Not Registered,Bank Transfer,****1867,1.0207,0,2021-03-06T17:10:25.618208,56.0,Active,1,1
P000102,Charles Thomas,1950-04-24,F,1983-10-15,2004-09-02,20,2289.24,Defined Benefit,25181.64,West,2002-12-15,0,S***,Cheque,****4471,1.0288,0,2023-08-14T17:10:25.618507,54.0,Active,0,1
P000103,Karen Martinez,1948-09-17,M,1977-05-27,2016-05-11,38,1696.35,Defined Benefit,0.0,South,2014-08-21,1,Beneficiary Not Registered,Bank Transfer,****3096,1.0023,0,2023-05-26T17:10:25.618739,67.0,Active,1,1
P000104,Elizabeth Jones,1963-12-11,M,1985-09-03,2024-09-15,39,1790.31,Defined Contribution,0.0,South,2022-12-15,0,M***,Bank Transfer,****9461,1.01,0,2024-03-06T17:10:25.619007,60.0,Active,0,1
P000105,Elizabeth Thomas,1950-03-21,F,1978-03-12,2017-10-06,39,2069.57,Defined Benefit,0.0,South,2016-03-30,0,Beneficiary Not Registered,Bank Transfer,****1671,1.0183,0,2021-01-09T17:10:25.619259,67.0,Active,1,1
P000106,David Martin,1940-03-31,M,1968-01-19,2005-08-03,37,1683.34,Defined Benefit,0.0,South,2004-09-25,0,Beneficiary Not Registered,Direct Deposit,****7588,1.02,0,2024-09-29T17:10:25.619537,65.0,Active,1,1
P000107,James Moore,1964-07-08,F,1983-02-16,2027-01-16,43,1691.53,Defined Benefit,0.0,North,2025-06-23,0,R***,Bank Transfer,****4137,1.0269,1,2023-08-09T17:10:25.619804,62.0,Active,0,1
P000108,Mary Thomas,1951-11-18,M,1980-10-19,2020-08-20,39,1561.1,Defined Contribution,0.0,North,2019-01-28,0,Beneficiary Not Registered,Bank Transfer,****7519,1.0194,0,2023-11-15T17:10:25.620144,68.0,Active,1,1
P000109,Joseph Martin,1970-09-10,M,1997-07-14,2033-09-19,36,1564.9,Defined Benefit,0.0,West,2032-06-30,0,S***,Cheque,****3551,1.0211,1,2025-03-05T17:10:25.620471,63.0,Active,0,1
P000110,Elizabeth Davis,1946-10-09,M,1972-03-14,2006-05-13,34,1761.07,Defined Contribution,0.0,East,2006-03-03,1,J***,Direct Deposit,****2898,1.0328,0,2025-10-19T17:10:25.620784,59.0,Active,0,1
P000111,Jennifer Smith,1959-07-10,M,1982-05-22,2025-02-25,42,1196.26,Defined Contribution,0.0,West,2024-06-11,0,Beneficiary Not Registered,Direct Deposit,****9438,1.0314,0,2021-05-09T17:10:25.620998,65.0,Active,1,1
P000112,Robert Williams,1956-08-15,F,1976-06-06,2025-05-04,48,2015.39,Defined Contribution,0.0,South,2024-09-20,0,Beneficiary Not Registered,Bank Transfer,****1587,1.017,0,2024-08-09T17:10:25.621242,68.0,Active,1,1
P000113,Jessica Smith,1944-10-31,F,1970-08-27,2013-09-16,43,1603.15,Defined Benefit,0.0,West,2012-11-07,0,J***,Bank Transfer,****1155,1.0401,0,2022-12-23T17:10:25.621560,68.0,Active,0,1
P000114,Michael Garcia,1970-01-30,M,1995-10-25,2039-08-14,43,1265.61,Defined Benefit,37968.3,East,2038-03-17,1,Beneficiary Not Registered,Cheque,****2787,1.0243,1,2023-08-06T17:10:25.621814,69.0,Active,1,1
P000115,Joseph Moore,1961-09-05,M,1981-03-11,2021-01-09,39,1119.26,Defined Benefit,0.0,North,2019-05-09,0,J***,Cheque,****8789,1.017,0,2023-04-26T17:10:25.622100,59.0,Active,0,1
P000116,John Martinez,1963-09-02,M,1993-07-17,2030-10-17,37,2295.47,Defined Benefit,0.0,West,2030-08-06,1,W***,Bank Transfer,****2762,1.0147,1,2023-03-03T17:10:25.622356,67.0,Active,0,1
